item,itemLabel,began,ended
Q56305535,Bokassa,1966-01-04,1967-01-12
Q109037610,Maïdou,1978-07-17,1979-09-26
Q28500043,Comité militaire de redressement national,1981-09-02,1985-09-21
Q18169972,Gbézéra-Bria,1997-02-18,1999-01-15
Q18169988,Dologuélé I,1999-01-15,1999-11-01
Q18331741,Dologuélé II,1999-11-01,2000-04-16
Q18289300,Dologuélé III,2000-04-16,2001-04-05
Q18414241,Ziguélé I,2001-04-05,2001-08-30
Q18414242,Ziguélé II,2001-08-30,2003-01-16
Q25377179,Ziguélé III,2003-01-16,2003-03-31
Q18086086,Goumba,2003-03-31,2003-12-12
Q18086093,Gaombalet I,2003-12-12,2004-09-02
Q18331840,Gaombalet II,2004-09-02,2005-06-19
Q18289312,Doté I,2005-06-19,2006-01-31
Q18289315,Doté II,2006-01-31,2006-09-02
Q18289317,Doté III,2006-09-02,2008-01-28
Q18414238,Touadéra I,2008-01-28,2009-01-19
Q18414239,Touadéra II,2009-01-19,2011-04-22
Q18414240,Touadéra III,2011-04-22,2013-02-03
Q25377173,Tiangaye I,2013-02-03,2013-03-31
Q18414236,Tiangaye II,2013-03-31,2013-06-12
Q17629230,Tiangaye III,2013-06-12,2014-01-27
Q17629220,Nzapayeké,2014-01-27,2014-08-22
Q18414235,Kamoun I,2014-08-22,2015-01-16
Q25377574,Kamoun II,2015-01-16,2015-07-20
Q25378826,Kamoun III,2015-07-20,2015-10-29
Q25380087,Kamoun IV,2015-10-29,2016-04-11
Q23816935,Sarandji I,2016-04-11,2017-09-12
Q56301415,Sarandji II,2017-09-12,2019-02-22
,Ngrebada,2019-02-22,2021-06-10
Q109037602,Dondra,2021-06-24,2022-02-07
,Moloua,2022-02-07,
