item,itemLabel,startDate,endDate,sourceDate,psid
Q822264,Bernard Ayandho,1979-09-26,1980-08-22,,Q822264-5F346B32-43C5-437B-A089-74647D97DF61
Q1685227,Jean-Pierre Lebouder,1980-11-12,1981-04-03,,Q1685227-668FC7B4-B80A-4D59-8B11-5DE0F2B8064D
Q1386444,Simon Narcisse Bozanga,1981-04-04,1981-09-01,,Q1386444-2CF244CF-B348-4C20-A29A-B847304DA5DF
Q1287557,Édouard Frank,1991-03-15,1992-12-04,,Q1287557-D1B47012-18F6-45EB-9A01-66AC3048F557
Q717935,Timothée Malendoma,1992-12-04,1993-02-26,,Q717935-B03831DB-CA63-4979-A65C-878EE97C733E
Q5379287,Enoch Derant Lakoué,1993-02-26,1993-10-25,,Q5379287-6413C774-A4C0-4BB8-9986-4077A5D44E53
Q1685015,Jean-Luc Mandaba,1993-10-25,1995-04-12,,Q1685015-C242D922-A06C-474B-B3BA-1E0E4521B4E5
Q1489357,Gabriel Koyambounou,1995-04-12,1996-06-06,,Q1489357-B414461C-3FA8-4CF5-837D-3E9F235BA05D
Q58276,Jean-Paul Ngoupandé,1996-06-06,1997-01-30,,Q58276-0d898376-48c0-4844-65ad-db7f10f956cd
Q1930736,Michel Gbezera-Bria,1997-01-30,1999-01-04,,Q1930736-D5A7F52F-5591-47FD-862C-2FDC22BE742C
Q546278,Anicet-Georges Dologuélé,1999-01-04,2001-04-01,,Q546278-BD762403-F8DF-449E-A639-A8E45F5F2B3F
Q1648403,Martin Ziguélé,2001-04-01,2003-03-15,,Q1648403-C3B1D59C-D7D4-4BE8-A185-2F75A814E22D
Q318433,Abel Goumba,2003-03-15,2003-12-11,,Q318433-6EB58FFE-799F-4B36-94E0-07490D9A21A0
Q1150346,Célestin Gaombalet,2003-12-12,2005-06-11,,Q1150346-36CBF25F-3C83-4316-BE51-E42C580C5B42
Q274641,Élie Doté,2005-06-13,2008-01-18,,Q274641-D9DB1AE9-09E9-46DC-9B07-818B85FECE7E
Q57758,Faustin-Archange Touadéra,2008-01-22,2013-01-17,,Q57758-0294F7B1-24A1-4987-A2E0-741E9E54A5FE
Q3277446,Nicolas Tiangaye,2013-02-03,2014-01-10,,q3277446-54373240-477a-17f6-94e8-d8f13c0d98eb
Q15652682,André Nzapayeké,2014-01-25,2014-08-10,,Q15652682-D769911E-1EC6-4F73-91AC-5DD80CC3797B
Q17497078,Mahamat Kamoun,2014-08-10,2016-04-02,,Q17497078-90b435f2-4632-4baa-6a83-4e4d48c6b4db
Q23729455,Simplice Sarandji,2016-04-02,2019-02-22,,Q23729455-386a61ed-423b-1d6d-634f-92765b208735
Q61889435,Firmin Ngrébada,2019-02-25,2021-06-15,,Q61889435-6C770D10-DEF8-4280-BFA0-9A42458F1D1E
Q107273326,Henri-Marie Dondra,2021-06-15,,,Q107273326-5299AEC9-B433-4E08-9C78-1771FA8B2A09
