name,gender,position
Faustin Touadéra,,Premier ministre
Lieutenant-colonel Sylvain Ndoutingai,,Ministre d'État aux finances et au budget
Sylvain Maliko,male,Ministre d'État au plan et à l'économie
Anicet Parfait Mbay,,Ministre d'État chargé du développement des transports
Jean Willybiro-Sako,,Ministre d'État à l'enseignement supérieur et à la recherche scientifique
Abdou Karim Meckassoua,male,"Ministre d'État chargé des postes, télécommunications et des nouvelles technologies"
Fidèle Gouandjika,male,Ministre de l'agriculture et du développement rural
Emmanuel Bizot,male,"Ministre des eaux, forêts, chasse et pêche"
Antoine Gambi,,Ministre des affaires étrangères et des centrafricains de l'étranger
François Naoueyama,male,Ministre de l'environnement et de l'écologie
Gontran Djono-Djidou-Ahabo,male,Ministre de l'habitat et du logement
Michel Koyt,male,Ministre chargé du secrétariat général du gouvernement et des relations avec les institutions
Djibrine Sall,male,"Ministre de l'enseignement technique, professionnel et de la formation qualifiante"
Josué Binoua,,Ministre de l'administration du territoire et de la décentralisation
Jean-Michel Mandaba,male,"Ministre de la santé publique, de la population et de la lutte contre le SIDA"
Noël Ramadan,male,"Ministre de la fonction publique, du travail et de la prévoyance sociale"
Claude Richard Gouandja,male,"Ministre de la sécurité publique, de l'émigration-immigration et de l'ordre public"
Marlyn Mouliom Roosalem,female,Ministre du commerce et de l'industrie
Jean-Prosper Wodobodé,male,"Ministre de l'équipement, des travaux publics et du désenclavement"
Gisèle Annie Nam,female,"Ministre de l'énseignement primaire, secondaire et de l'alphabétisation"
Firmin Findiro,male,"Ministre de la justice et de la moralisation, Garde des sceaux"
Dorothée Aimée Malenzapa,female,"Ministre de la coopération internationale, de l'intégration régionale et de la francophonie"
Alfred Tainga Poloko,male,"Ministre de la communication, de la culture démocratique et civique"
Pétro-Koni Zézé née Marguerite Zarambaud,female,"Ministre des affaires sociales, de la solidarité nationale et de la promotion du genre"
Léopold Mboli Fatran,male,Ministre de l'énergie et de l'hydraulique
Pascal Koyaméné,male,Ministre de l'urbanisme et de la reconstruction des édifices publics
Sylvie Annick Mazoungou,female,Ministre du développement du tourisme et de l'artisanat
Jean-Serge Bokassa,male,"Ministre de la jeunesse, des sports, des arts et de la culture"
Albertine Agoundoukoua Mbissa,female,"Ministre de la promotion des petites et moyennes entreprises, du secteur informel et du guichet unique"
Youssoufa Yérima Mandjo,male,Ministre délégué auprès du ministre de l'agriculture et du développement rural chargé de l'élevage et de la santé animale
Jean-Francis Bozizé,,"Ministre délégué à la présidence de la république chargé de la défense nationale, des anciens combattants, des victimes de guerre et de la restructuration de l'armée"
David Banzoukou,male,Ministre délégué à la présidence de la république chargé des pôles de développement
Obed Namsio,male,Ministre délégué à la présidence de la république chargé des Mines
Théodore Jousso,male,Ministre délégué à la présidence de la république chargé de l'aviation civile et du transport aérien
Sylvestre Yangongo,,"Ministre délégué à la présidence de la république chargé du désarmement, de la démobilisation, de la réinsertion des anciens combattants et de la jeunesse pionnière nationale"
